Site,Temp,Species,Geno,Rep,Label,Sym_cm2,Chl_cell,Chl_cm2
AlWajd,30,Acropora,1,B,WA1-30B,350034,3.483,1.219
AlWajd,30,Acropora,2,B,WA2-30B,337331,2.444,0.824
AlWajd,30,Acropora,3,B,WA3-30B,483757,3.459,1.673
AlWajd,30,Acropora,4,B,WA4-30B,309327,4.279,1.324
AlWajd,30,Acropora,5,B,WA5-30B,465201,2.521,1.173
AlWajd,30,Acropora,6,B,WA6-30B,303146,2.955,0.896
AlWajd,30,Acropora,7,B,WA7-30B,722065,2.789,2.014
AlWajd,30,Pocillopora,1,B,WP1-30B,1702829,4.993,8.503
AlWajd,30,Pocillopora,2,B,WP2-30B,733275,7.92,5.808
AlWajd,30,Pocillopora,3,B,WP3-30B,729121,10.449,7.618
AlWajd,30,Pocillopora,4,B,WP4-30B,1508961,4.211,6.354
AlWajd,30,Pocillopora,5,B,WP5-30B,1024726,5.557,5.694
AlWajd,30,Pocillopora,7,B,WP7-30B,650221,8.426,5.479
AlWajd,33,Acropora,1,B,WA1-33B,190397,3.639,0.693
AlWajd,33,Acropora,2,B,WA2-33B,357057,2.663,0.951
AlWajd,33,Acropora,3,B,WA3-33B,254460,2.841,0.723
AlWajd,33,Acropora,4,B,WA4-33B,172049,1.99,0.342
AlWajd,33,Acropora,5,B,WA5-33B,111808,1.819,0.203
AlWajd,33,Acropora,6,B,WA6-33B,280297,2.671,0.749
AlWajd,33,Acropora,7,B,WA7-33B,190256,2.038,0.388
AlWajd,33,Pocillopora,1,B,WP1-33B,1824430,4.9,8.941
AlWajd,33,Pocillopora,2,B,WP2-33B,1846615,4.66,8.606
AlWajd,33,Pocillopora,3,B,WP3-33B,486284,16.061,7.81
AlWajd,33,Pocillopora,4,B,WP4-33B,1376426,5.102,7.023
AlWajd,33,Pocillopora,5,B,WP5-33B,629450,4.595,2.892
AlWajd,33,Pocillopora,6,B,WP6-33B,1268084,6.593,8.361
AlWajd,33,Pocillopora,7,B,WP7-33B,771237,6.833,5.27
