Label,Site,Species,Geno,Temp,Replicate,Bleaching_score_GP,Bleaching_score_AC,Bleaching_score_CB,Median
ES1-30A,Eilat,Stylophora,1,30,A,80,80,100,80
ES1-30B,Eilat,Stylophora,1,30,B,80,80,100,80
ES1-33A,Eilat,Stylophora,1,33,A,40,20,40,40
ES1-33B,Eilat,Stylophora,1,33,B,60,60,60,60
ES1-36A,Eilat,Stylophora,1,36,A,20,0,0,0
ES1-36B,Eilat,Stylophora,1,36,B,20,60,20,20
ES1-39A,Eilat,Stylophora,1,39,A,0,0,0,0
ES1-39B,Eilat,Stylophora,1,39,B,0,0,0,0
ES2-30A,Eilat,Stylophora,2,30,A,40,40,40,40
ES2-30B,Eilat,Stylophora,2,30,B,40,20,40,40
ES2-33A,Eilat,Stylophora,2,33,A,40,20,40,40
ES2-33B,Eilat,Stylophora,2,33,B,40,20,20,20
ES2-36A,Eilat,Stylophora,2,36,A,20,0,20,20
ES2-36B,Eilat,Stylophora,2,36,B,20,0,20,20
ES2-39A,Eilat,Stylophora,2,39,A,0,0,0,0
ES2-39B,Eilat,Stylophora,2,39,B,0,0,0,0
ES3-30A,Eilat,Stylophora,3,30,A,80,80,100,80
ES3-30B,Eilat,Stylophora,3,30,B,80,60,100,80
ES3-33A,Eilat,Stylophora,3,33,A,40,20,40,40
ES3-33B,Eilat,Stylophora,3,33,B,40,40,40,40
ES3-36A,Eilat,Stylophora,3,36,A,20,0,20,20
ES3-36B,Eilat,Stylophora,3,36,B,40,40,40,40
ES3-39A,Eilat,Stylophora,3,39,A,40,20,40,40
ES3-39B,Eilat,Stylophora,3,39,B,0,0,0,0
ES4-30A,Eilat,Stylophora,4,30,A,40,40,40,40
ES4-30B,Eilat,Stylophora,4,30,B,80,40,40,40
ES4-33A,Eilat,Stylophora,4,33,A,20,0,20,20
ES4-33B,Eilat,Stylophora,4,33,B,60,60,60,60
ES4-36A,Eilat,Stylophora,4,36,A,40,20,20,20
ES4-36B,Eilat,Stylophora,4,36,B,40,0,40,40
ES4-39A,Eilat,Stylophora,4,39,A,0,0,0,0
ES4-39B,Eilat,Stylophora,4,39,B,0,0,0,0
ES5-30A,Eilat,Stylophora,5,30,A,40,60,40,40
ES5-30B,Eilat,Stylophora,5,30,B,80,80,100,80
ES5-33A,Eilat,Stylophora,5,33,A,40,40,40,40
ES5-33B,Eilat,Stylophora,5,33,B,40,20,40,40
ES5-36A,Eilat,Stylophora,5,36,A,0,0,0,0
ES5-36B,Eilat,Stylophora,5,36,B,40,80,40,40
ES5-39A,Eilat,Stylophora,5,39,A,0,0,0,0
ES5-39B,Eilat,Stylophora,5,39,B,0,0,0,0
ES6-30A,Eilat,Stylophora,6,30,A,100,100,100,100
ES6-30B,Eilat,Stylophora,6,30,B,100,100,100,100
ES6-33A,Eilat,Stylophora,6,33,A,60,60,60,60
ES6-33B,Eilat,Stylophora,6,33,B,80,80,100,80
ES6-36A,Eilat,Stylophora,6,36,A,20,0,0,0
ES6-36B,Eilat,Stylophora,6,36,B,40,60,40,40
ES6-39A,Eilat,Stylophora,6,39,A,20,40,40,40
ES6-39B,Eilat,Stylophora,6,39,B,0,0,0,0
