Geno,Site,ED50,Species,MMM,Relative_Threshold
1,Eilat,37.35502517,Acropora,27.01,10.34502517
2,Eilat,36.88649428,Acropora,27.01,9.876494282
3,Eilat,37.31471906,Acropora,27.01,10.30471906
4,Eilat,37.25076102,Acropora,27.01,10.24076102
5,Eilat,36.96903672,Acropora,27.01,9.959036722
6,Eilat,37.07997449,Acropora,27.01,10.06997449
7,Eilat,36.83881701,Acropora,27.01,9.82881701
1,AlWajh,37.40005238,Acropora,30.04,7.360052382
2,AlWajh,37.67510041,Acropora,30.04,7.635100413
3,AlWajh,37.06692562,Acropora,30.04,7.026925615
4,AlWajh,37.68792419,Acropora,30.04,7.647924185
5,AlWajh,37.182526,Acropora,30.04,7.142525998
6,AlWajh,37.28897218,Acropora,30.04,7.248972175
7,AlWajh,37.27030019,Acropora,30.04,7.230300193
1,Yanbu,36.48321915,Acropora,29.71,6.773219146
2,Yanbu,36.588492,Acropora,29.71,6.878491997
3,Yanbu,36.88676927,Acropora,29.71,7.176769275
4,Yanbu,36.54104459,Acropora,29.71,6.831044589
5,Yanbu,36.30290891,Acropora,29.71,6.592908915
6,Yanbu,36.8080172,Acropora,29.71,7.0980172
7,Yanbu,36.73818284,Acropora,29.71,7.028182843
1,AlFahal,38.04374386,Acropora,30.76,7.283743855
2,AlFahal,37.42415551,Acropora,30.76,6.664155513
3,AlFahal,37.51941276,Acropora,30.76,6.759412763
4,AlFahal,37.57207664,Acropora,30.76,6.812076635
5,AlFahal,38.08686217,Acropora,30.76,7.326862174
6,AlFahal,37.72942553,Acropora,30.76,6.96942553
7,AlFahal,37.49184529,Acropora,30.76,6.731845293
1,Obock,36.71320155,Pocillopora,30.9,5.813201547
2,Obock,37.00531497,Pocillopora,30.9,6.105314967
3,Obock,36.914908,Pocillopora,30.9,6.014907999
4,Obock,36.55332132,Pocillopora,30.9,5.653321321
5,Obock,36.34771518,Pocillopora,30.9,5.447715177
6,Obock,37.12120886,Pocillopora,30.9,6.221208859
7,Obock,36.4487438,Pocillopora,30.9,5.548743805
1,Eilat,34.66300451,Pocillopora,27.01,7.653004509
2,Eilat,34.51877094,Pocillopora,27.01,7.508770939
3,Eilat,35.82853369,Pocillopora,27.01,8.818533693
4,Eilat,34.71533786,Pocillopora,27.01,7.705337865
5,Eilat,35.59176525,Pocillopora,27.01,8.581765247
6,Eilat,35.20683884,Pocillopora,27.01,8.196838843
7,Eilat,35.55329534,Pocillopora,27.01,8.543295344
1,AlWajh,35.58251862,Pocillopora,30.04,5.542518624
2,AlWajh,36.12716748,Pocillopora,30.04,6.087167477
3,AlWajh,36.522895,Pocillopora,30.04,6.482895
4,AlWajh,36.77259585,Pocillopora,30.04,6.732595848
5,AlWajh,36.51208742,Pocillopora,30.04,6.472087423
6,AlWajh,36.4142963,Pocillopora,30.04,6.374296304
7,AlWajh,36.02372536,Pocillopora,30.04,5.98372536
1,Yanbu,36.03496389,Pocillopora,29.71,6.324963886
2,Yanbu,36.04081407,Pocillopora,29.71,6.330814072
3,Yanbu,35.78444493,Pocillopora,29.71,6.074444934
4,Yanbu,35.6758561,Pocillopora,29.71,5.965856102
5,Yanbu,35.43382736,Pocillopora,29.71,5.72382736
6,Yanbu,35.44484502,Pocillopora,29.71,5.734845022
7,Yanbu,36.32490289,Pocillopora,29.71,6.614902887
1,AlFahal,36.7461323,Pocillopora,30.76,5.986132302
2,AlFahal,37.33781253,Pocillopora,30.76,6.577812534
3,AlFahal,36.19301266,Pocillopora,30.76,5.43301266
4,AlFahal,33.30155222,Pocillopora,30.76,2.541552222
5,AlFahal,36.32795184,Pocillopora,30.76,5.56795184
6,AlFahal,35.9372496,Pocillopora,30.76,5.177249601
7,AlFahal,36.50512838,Pocillopora,30.76,5.745128384
1,Obock,37.09138747,Porites,30.9,6.191387472
2,Obock,37.60333328,Porites,30.9,6.703333284
3,Obock,36.73721234,Porites,30.9,5.837212335
4,Obock,36.83050474,Porites,30.9,5.930504737
5,Obock,37.47141808,Porites,30.9,6.571418081
6,Obock,37.37103399,Porites,30.9,6.471033987
7,Obock,36.64867881,Porites,30.9,5.74867881
1,AlQunfudhah,35.79658738,Porites,31.56,4.236587382
2,AlQunfudhah,35.8910753,Porites,31.56,4.331075295
3,AlQunfudhah,35.41133079,Porites,31.56,3.851330786
4,AlQunfudhah,35.89910881,Porites,31.56,4.339108815
5,AlQunfudhah,35.60513147,Porites,31.56,4.045131473
6,AlQunfudhah,35.67616807,Porites,31.56,4.116168068
7,AlQunfudhah,35.58157422,Porites,31.56,4.021574217
1,AlWajh,36.68727537,Porites,30.04,6.647275375
2,AlWajh,37.48777822,Porites,30.04,7.447778216
3,AlWajh,36.55034161,Porites,30.04,6.510341613
4,AlWajh,37.29875573,Porites,30.04,7.25875573
5,AlWajh,37.65682837,Porites,30.04,7.616828375
6,AlWajh,36.5312914,Porites,30.04,6.491291399
7,AlWajh,36.56564331,Porites,30.04,6.525643306
1,Yanbu,36.96478015,Porites,29.71,7.254780154
2,Yanbu,36.33850346,Porites,29.71,6.62850346
3,Yanbu,37.28755585,Porites,29.71,7.577555847
4,Yanbu,35.71852496,Porites,29.71,6.008524963
