PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,T1RelayState,T2SP,T2inT,T2RelayState,T3SP,T3inT,T3RelayState,T4SP,T4inT,T4RelayState,
2018_July_31_AlWajh1_4,2018_August_4,25784,14,36,17,30.00,36.38,CHL,30.00,37.25,CHL,30.57,40.50,CHL,30.57,34.94,CHL,
2018_July_31_AlWajh1_4,2018_August_4,31682,14,36,23,30.00,36.19,CHL,30.00,37.31,CHL,30.57,40.56,CHL,30.57,35.06,CHL,
2018_July_31_AlWajh1_4,2018_August_4,37143,14,36,28,30.00,36.13,CHL,30.00,37.31,CHL,30.57,40.56,CHL,30.57,35.19,CHL,
2018_July_31_AlWajh1_4,2018_August_4,42605,14,36,34,30.00,36.13,CHL,30.00,37.31,CHL,30.57,40.56,CHL,30.57,35.19,CHL,
2018_July_31_AlWajh1_4,2018_August_4,48071,14,36,39,30.00,36.19,CHL,30.00,37.06,CHL,30.57,40.38,CHL,30.57,35.13,CHL,
2018_July_31_AlWajh1_4,2018_August_4,53531,14,36,45,30.00,36.13,CHL,30.00,37.31,CHL,30.57,39.94,CHL,30.57,35.00,CHL,
2018_July_31_AlWajh1_4,2018_August_4,58992,14,36,50,30.00,36.19,CHL,30.00,37.63,CHL,30.57,39.50,CHL,30.57,35.00,CHL,
2018_July_31_AlWajh1_4,2018_August_4,64454,14,36,57,30.00,36.19,CHL,30.00,37.94,CHL,30.57,38.94,CHL,30.57,34.56,CHL,
2018_July_31_AlWajh1_4,2018_August_4,71274,14,37,3,30.00,36.13,CHL,30.00,38.31,CHL,30.57,36.88,HTR,30.57,34.31,CHL,
2018_July_31_AlWajh1_4,2018_August_4,76733,14,37,8,30.00,36.13,CHL,30.00,38.50,CHL,30.57,34.19,HTR,30.57,34.13,CHL,
2018_July_31_AlWajh1_4,2018_August_4,82191,14,37,13,30.00,36.13,CHL,30.00,38.69,CHL,30.57,33.06,HTR,30.57,33.44,HTR,
2018_July_31_AlWajh1_4,2018_August_4,87648,14,37,19,30.00,36.06,CHL,30.00,38.88,CHL,30.57,32.50,HTR,30.57,32.31,HTR,
2018_July_31_AlWajh1_4,2018_August_4,93109,14,37,24,30.00,36.00,CHL,30.00,39.00,CHL,30.57,32.19,CHL,30.57,31.87,HTR,
2018_July_31_AlWajh1_4,2018_August_4,98568,14,37,30,30.00,36.06,CHL,30.00,39.19,CHL,30.57,32.00,CHL,30.57,31.69,CHL,
2018_July_31_AlWajh1_4,2018_August_4,104028,14,37,35,30.00,36.00,CHL,30.00,39.31,CHL,30.57,31.87,CHL,30.57,31.56,CHL,
2018_July_31_AlWajh1_4,2018_August_4,109490,14,37,41,30.00,36.00,CHL,30.00,39.50,CHL,30.57,31.81,CHL,30.57,31.50,CHL,
2018_July_31_AlWajh1_4,2018_August_4,114951,14,37,46,30.00,36.00,CHL,30.00,39.63,CHL,30.57,31.75,CHL,30.57,31.44,CHL,
2018_July_31_AlWajh1_4,2018_August_4,120416,14,37,52,30.00,36.00,CHL,30.00,39.81,CHL,30.57,31.75,CHL,30.57,31.44,CHL,
2018_July_31_AlWajh1_4,2018_August_4,126024,14,38,0,30.00,36.00,CHL,30.00,39.88,CHL,30.57,31.75,CHL,30.57,31.44,CHL,
2018_July_31_AlWajh1_4,2018_August_4,133947,14,38,5,30.00,35.94,CHL,30.00,40.06,CHL,30.57,31.69,CHL,30.57,31.37,CHL,
